Имя игрока: Игрок, Счет: 2, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 1, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 1, Сложность: Сложно, Персонаж: Птица
Имя игрока: Игрок, Счет: 7, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 4, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 10, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 3, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 2, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Сложно, Персонаж: Птица
Имя игрока: Игрок, Счет: 1, Сложность: Сложно, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 13, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 8, Сложность: Легко, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 2, Сложность: Сложно, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 9, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 7, Сложность: Сложно, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 37, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Пчела
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Средне, Персонаж: Бабочка
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
Имя игрока: Игрок, Счет: 0, Сложность: Легко, Персонаж: Птица
